TestNumber,Principal,Operation,Resource,Granted,Milliseconds
2878,Principal 0096,Operation 0003,Resource 11224,N,0.0012
2879,Principal 0149,Operation 0006,Resource 10024,N,0.0006
2880,Principal 0044,Operation 0014,Resource 6072,N,0.0012
2881,Principal 0002,Operation 0013,Resource 8034,N,0.0012
2882,Principal 0041,Operation 0004,Resource 7952,Y,0.0022
2883,Principal 0080,Operation 0011,Resource 10318,N,0.0006
2884,Principal 0062,Operation 0006,Resource 12821,N,0.0003
2885,Principal 0086,Operation 0009,Resource 5170,Y,0.0032
2886,Principal 0114,Operation 0009,Resource 9040,N,0.0025
2887,Principal 0096,Operation 0002,Resource 14370,N,0.0006
2888,Principal 0073,Operation 0014,Resource 3007,N,0.0012
2889,Principal 0060,Operation 0005,Resource 11219,N,0.0003
2890,Principal 0060,Operation 0012,Resource 2558,N,0.0016
2891,Principal 0140,Operation 0005,Resource 6289,N,0.0025
2892,Principal 0095,Operation 0013,Resource 7079,N,0.0009
2893,Principal 0061,Operation 0014,Resource 10976,N,0.0006
2894,Principal 0132,Operation 0012,Resource 9877,N,0.0009
2895,Principal 0021,Operation 0009,Resource 11223,N,0.0006
2896,Principal 0130,Operation 0001,Resource 9132,N,0.0028
2897,Principal 0061,Operation 0004,Resource 12669,N,0.0003
2898,Principal 0010,Operation 0010,Resource 13086,N,0.0003
2899,Principal 0067,Operation 0008,Resource 14108,N,0.0003
2900,Principal 0050,Operation 0013,Resource 14176,N,0.0003
2901,Principal 0117,Operation 0002,Resource 13687,N,0.0003
2902,Principal 0078,Operation 0007,Resource 0771,Y,0.0028
2903,Principal 0065,Operation 0014,Resource 10274,N,0.0006
2904,Principal 0131,Operation 0005,Resource 8786,N,0.0028
2905,Principal 0130,Operation 0011,Resource 4021,N,0.0009
2906,Principal 0045,Operation 0005,Resource 4960,Y,0.0022
2907,Principal 0068,Operation 0008,Resource 4107,Y,0.0025
2908,Principal 0021,Operation 0014,Resource 9214,N,0.0012
2909,Principal 0049,Operation 0013,Resource 10363,N,0.0006
2910,Principal 0082,Operation 0003,Resource 5630,Y,0.0032
2911,Principal 0080,Operation 0002,Resource 1825,Y,0.0032
2912,Principal 0118,Operation 0002,Resource 10089,N,0.0006
2913,Principal 0112,Operation 0009,Resource 2344,N,0.0028
2914,Principal 0104,Operation 0007,Resource 1949,N,0.0028
2915,Principal 0138,Operation 0008,Resource 13206,N,0.0003
2916,Principal 0039,Operation 0003,Resource 13473,N,0.0006
2917,Principal 0091,Operation 0003,Resource 2693,Y,0.0028
2918,Principal 0091,Operation 0013,Resource 5069,N,0.0012
2919,Principal 0101,Operation 0010,Resource 2046,N,0.0009
2920,Principal 0045,Operation 0003,Resource 9138,Y,0.0019
2921,Principal 0054,Operation 0013,Resource 11204,N,0.0003
2922,Principal 0047,Operation 0005,Resource 4215,Y,0.0022
2923,Principal 0070,Operation 0002,Resource 9903,Y,0.0025
2924,Principal 0089,Operation 0008,Resource 10914,N,0.0006
2925,Principal 0026,Operation 0011,Resource 1431,N,0.0009
2926,Principal 0022,Operation 0004,Resource 7002,Y,0.0019
2927,Principal 0110,Operation 0001,Resource 10088,N,0.0006
2928,Principal 0119,Operation 0014,Resource 0638,N,0.0012
2929,Principal 0030,Operation 0013,Resource 2860,N,0.0012
2930,Principal 0117,Operation 0002,Resource 6822,N,0.0025
2931,Principal 0080,Operation 0007,Resource 6420,Y,0.0028
2932,Principal 0082,Operation 0005,Resource 8195,Y,0.0028
2933,Principal 0058,Operation 0009,Resource 2841,Y,0.0025
2934,Principal 0090,Operation 0012,Resource 1658,N,0.0016
2935,Principal 0036,Operation 0001,Resource 8904,Y,0.0019
2936,Principal 0068,Operation 0007,Resource 1912,Y,0.0022
2937,Principal 0037,Operation 0008,Resource 6419,Y,0.0022
2938,Principal 0100,Operation 0008,Resource 1868,N,0.0028
2939,Principal 0140,Operation 0008,Resource 14194,N,0.0006
2940,Principal 0105,Operation 0002,Resource 6300,N,0.0028
2941,Principal 0014,Operation 0010,Resource 14531,N,0.0003
2942,Principal 0031,Operation 0001,Resource 1588,Y,0.0019
2943,Principal 0045,Operation 0009,Resource 6287,Y,0.0028
2944,Principal 0082,Operation 0011,Resource 9013,N,0.0009
2945,Principal 0042,Operation 0002,Resource 4083,Y,0.0022
2946,Principal 0084,Operation 0008,Resource 14002,N,0.0006
2947,Principal 0067,Operation 0011,Resource 7290,N,0.0012
2948,Principal 0010,Operation 0008,Resource 8820,Y,0.0019
2949,Principal 0005,Operation 0013,Resource 13250,N,0.0003
2950,Principal 0046,Operation 0009,Resource 11527,N,0.0003
2951,Principal 0090,Operation 0010,Resource 7508,N,0.0009
2952,Principal 0115,Operation 0008,Resource 1716,N,0.0025
2953,Principal 0022,Operation 0001,Resource 14245,N,0.0003
2954,Principal 0073,Operation 0003,Resource 12119,N,0.0003
2955,Principal 0106,Operation 0010,Resource 11497,N,0.0003
2956,Principal 0124,Operation 0006,Resource 6450,N,0.0025
2957,Principal 0127,Operation 0006,Resource 0198,N,0.0035
2958,Principal 0002,Operation 0004,Resource 5547,Y,0.0012
2959,Principal 0140,Operation 0001,Resource 2089,N,0.0025
2960,Principal 0057,Operation 0003,Resource 2890,Y,0.0022
2961,Principal 0034,Operation 0014,Resource 0258,N,0.0009
2962,Principal 0097,Operation 0014,Resource 1237,N,0.0012
2963,Principal 0015,Operation 0008,Resource 9379,Y,0.0022
2964,Principal 0024,Operation 0006,Resource 7833,Y,0.0016
2965,Principal 0147,Operation 0014,Resource 8876,N,0.0012
2966,Principal 0102,Operation 0005,Resource 12715,N,0.0012
2967,Principal 0123,Operation 0003,Resource 7116,N,0.0025
2968,Principal 0068,Operation 0007,Resource 3534,Y,0.0025
2969,Principal 0113,Operation 0009,Resource 6344,N,0.0028
2970,Principal 0020,Operation 0012,Resource 7231,N,0.0012
2971,Principal 0146,Operation 0011,Resource 12808,N,0.0006
2972,Principal 0113,Operation 0004,Resource 2342,N,0.0028
2973,Principal 0118,Operation 0001,Resource 11167,N,0.0006
2974,Principal 0102,Operation 0011,Resource 13261,N,0.0003
2975,Principal 0120,Operation 0010,Resource 14316,N,0.0006
2976,Principal 0074,Operation 0001,Resource 4417,Y,0.0028
2977,Principal 0116,Operation 0004,Resource 10083,N,0.0006
2978,Principal 0044,Operation 0008,Resource 14681,N,0.0006
2979,Principal 0108,Operation 0011,Resource 8173,N,0.0009
2980,Principal 0117,Operation 0013,Resource 5428,N,0.0009
2981,Principal 0099,Operation 0014,Resource 10091,N,0.0006
2982,Principal 0022,Operation 0003,Resource 9889,Y,0.0019
2983,Principal 0100,Operation 0004,Resource 10436,N,0.0003
2984,Principal 0065,Operation 0013,Resource 4458,N,0.0012
2985,Principal 0016,Operation 0002,Resource 7097,Y,0.0019
2986,Principal 0088,Operation 0010,Resource 11351,N,0.0003
2987,Principal 0042,Operation 0004,Resource 8372,Y,0.0022
2988,Principal 0020,Operation 0005,Resource 8692,Y,0.0019
2989,Principal 0121,Operation 0010,Resource 3025,N,0.0012
2990,Principal 0131,Operation 0001,Resource 7443,N,0.0028
2991,Principal 0092,Operation 0001,Resource 2435,Y,0.0025
2992,Principal 0058,Operation 0001,Resource 11356,N,0.0003
2993,Principal 0032,Operation 0010,Resource 7678,N,0.0009
2994,Principal 0044,Operation 0012,Resource 12035,N,0.0009
2995,Principal 0090,Operation 0005,Resource 5528,Y,0.0032
2996,Principal 0056,Operation 0003,Resource 6328,Y,0.0025
2997,Principal 0076,Operation 0002,Resource 1807,Y,0.0025
2998,Principal 0118,Operation 0008,Resource 9464,N,0.0028
2999,Principal 0120,Operation 0008,Resource 9253,N,0.0025
3000,Principal 0014,Operation 0005,Resource 7485,Y,0.0019
3001,Principal 0069,Operation 0012,Resource 2818,N,0.0012
3002,Principal 0030,Operation 0012,Resource 13174,N,0.0006
3003,Principal 0021,Operation 0011,Resource 1694,N,0.0016
3004,Principal 0107,Operation 0006,Resource 14806,N,0.0009
3005,Principal 0037,Operation 0014,Resource 6626,N,0.0012
3006,Principal 0113,Operation 0008,Resource 0154,N,0.0025
3007,Principal 0032,Operation 0007,Resource 7430,Y,0.0019
3008,Principal 0117,Operation 0006,Resource 13664,N,0.0006
3009,Principal 0056,Operation 0012,Resource 7630,N,0.0012
3010,Principal 0080,Operation 0009,Resource 7402,Y,0.0028
3011,Principal 0021,Operation 0002,Resource 4923,Y,0.0019
3012,Principal 0002,Operation 0012,Resource 0441,N,0.0009
3013,Principal 0092,Operation 0006,Resource 7772,Y,0.0028
3014,Principal 0074,Operation 0004,Resource 7016,Y,0.0028
3015,Principal 0047,Operation 0012,Resource 11234,N,0.0006
3016,Principal 0020,Operation 0008,Resource 7717,Y,0.0022
3017,Principal 0029,Operation 0001,Resource 0021,Y,0.0025
3018,Principal 0091,Operation 0013,Resource 13478,N,0.0006
3019,Principal 0001,Operation 0010,Resource 6356,N,0.0012
3020,Principal 0042,Operation 0012,Resource 0019,N,0.0012
3021,Principal 0056,Operation 0009,Resource 2126,Y,0.0022
3022,Principal 0093,Operation 0009,Resource 3913,Y,0.0032
3023,Principal 0099,Operation 0004,Resource 2228,Y,0.0028
3024,Principal 0062,Operation 0002,Resource 1958,Y,0.0028
3025,Principal 0074,Operation 0011,Resource 2920,N,0.0009
3026,Principal 0005,Operation 0007,Resource 8699,Y,0.0016
3027,Principal 0025,Operation 0004,Resource 4197,Y,0.0022
3028,Principal 0149,Operation 0005,Resource 7964,N,0.0032
3029,Principal 0074,Operation 0008,Resource 3536,Y,0.0028
3030,Principal 0065,Operation 0001,Resource 2395,Y,0.0022
3031,Principal 0091,Operation 0005,Resource 8631,Y,0.0028
3032,Principal 0078,Operation 0002,Resource 9550,Y,0.0025
3033,Principal 0049,Operation 0010,Resource 3205,N,0.0012
3034,Principal 0073,Operation 0007,Resource 4669,Y,0.0022
3035,Principal 0055,Operation 0011,Resource 13599,N,0.0006
3036,Principal 0130,Operation 0002,Resource 2425,N,0.0019
3037,Principal 0105,Operation 0014,Resource 3105,N,0.0009
3038,Principal 0126,Operation 0002,Resource 8721,N,0.0028
3039,Principal 0108,Operation 0006,Resource 3920,N,0.0025
3040,Principal 0092,Operation 0002,Resource 0636,Y,0.0025
3041,Principal 0004,Operation 0004,Resource 3343,Y,0.0016
3042,Principal 0148,Operation 0012,Resource 12057,N,0.0003
3043,Principal 0083,Operation 0014,Resource 9000,N,0.0012
3044,Principal 0084,Operation 0010,Resource 11721,N,0.0006
3045,Principal 0055,Operation 0010,Resource 11518,N,0.0006
3046,Principal 0145,Operation 0009,Resource 8480,N,0.0025
3047,Principal 0094,Operation 0009,Resource 6284,Y,0.0028
3048,Principal 0012,Operation 0011,Resource 0497,N,0.0009
3049,Principal 0142,Operation 0011,Resource 3339,N,0.0009
3050,Principal 0149,Operation 0012,Resource 11179,N,0.0003
3051,Principal 0056,Operation 0011,Resource 8432,N,0.0012
3052,Principal 0026,Operation 0007,Resource 3678,Y,0.0022
3053,Principal 0014,Operation 0006,Resource 14551,N,0.0006
3054,Principal 0016,Operation 0005,Resource 2091,Y,0.0019
3055,Principal 0084,Operation 0003,Resource 4118,Y,0.0025
3056,Principal 0064,Operation 0007,Resource 6617,Y,0.0022
3057,Principal 0122,Operation 0011,Resource 11207,N,0.0006
3058,Principal 0104,Operation 0014,Resource 7591,N,0.0012
3059,Principal 0093,Operation 0014,Resource 7554,N,0.0012
3060,Principal 0029,Operation 0001,Resource 0674,Y,0.0019
3061,Principal 0087,Operation 0008,Resource 2697,Y,0.0028
3062,Principal 0128,Operation 0003,Resource 14796,N,0.0003
3063,Principal 0033,Operation 0003,Resource 3163,Y,0.0022
3064,Principal 0078,Operation 0013,Resource 3768,N,0.0012
3065,Principal 0089,Operation 0008,Resource 4583,Y,0.0025
3066,Principal 0042,Operation 0008,Resource 8695,Y,0.0022
3067,Principal 0114,Operation 0008,Resource 4265,N,0.0028
3068,Principal 0117,Operation 0003,Resource 0639,N,0.0028
3069,Principal 0149,Operation 0010,Resource 10930,N,0.0006
3070,Principal 0009,Operation 0008,Resource 7680,Y,0.0016
3071,Principal 0111,Operation 0013,Resource 5114,N,0.0009
3072,Principal 0138,Operation 0008,Resource 11319,N,0.0006
3073,Principal 0143,Operation 0010,Resource 14451,N,0.0006
3074,Principal 0043,Operation 0003,Resource 4237,Y,0.0019
3075,Principal 0035,Operation 0005,Resource 13092,N,0.0003
3076,Principal 0074,Operation 0002,Resource 6975,Y,0.0028
3077,Principal 0030,Operation 0005,Resource 6580,Y,0.0022
3078,Principal 0138,Operation 0007,Resource 7635,N,0.0028
3079,Principal 0114,Operation 0012,Resource 5709,N,0.0009
3080,Principal 0021,Operation 0012,Resource 7549,N,0.0009
3081,Principal 0039,Operation 0003,Resource 9708,Y,0.0025
3082,Principal 0105,Operation 0011,Resource 14720,N,0.0006
3083,Principal 0136,Operation 0010,Resource 14998,N,0.0006
3084,Principal 0083,Operation 0005,Resource 12082,N,0.0006
3085,Principal 0092,Operation 0007,Resource 4814,Y,0.0025
3086,Principal 0001,Operation 0008,Resource 13345,N,0.0006
3087,Principal 0026,Operation 0008,Resource 8678,Y,0.0019
3088,Principal 0040,Operation 0012,Resource 3060,N,0.0009
3089,Principal 0011,Operation 0012,Resource 7013,N,0.0012
3090,Principal 0124,Operation 0003,Resource 10827,N,0.0009
3091,Principal 0056,Operation 0012,Resource 12754,N,0.0003
3092,Principal 0069,Operation 0001,Resource 0644,Y,0.0019
3093,Principal 0095,Operation 0008,Resource 7646,Y,0.0028
3094,Principal 0133,Operation 0009,Resource 6461,N,0.0028
3095,Principal 0070,Operation 0010,Resource 0359,N,0.0009
3096,Principal 0095,Operation 0005,Resource 14410,N,0.0006
3097,Principal 0029,Operation 0011,Resource 3731,N,0.0012
3098,Principal 0074,Operation 0014,Resource 5317,N,0.0012
3099,Principal 0138,Operation 0014,Resource 4618,N,0.0009
3100,Principal 0067,Operation 0009,Resource 14451,N,0.0003
3101,Principal 0077,Operation 0002,Resource 7583,Y,0.0025
3102,Principal 0042,Operation 0003,Resource 7464,Y,0.0022
3103,Principal 0143,Operation 0003,Resource 6602,N,0.0028
3104,Principal 0042,Operation 0006,Resource 0295,Y,0.0022
3105,Principal 0057,Operation 0004,Resource 13746,N,0.0006
3106,Principal 0023,Operation 0012,Resource 3088,N,0.0012
3107,Principal 0027,Operation 0007,Resource 7650,Y,0.0019
3108,Principal 0076,Operation 0010,Resource 6086,N,0.0009
3109,Principal 0071,Operation 0013,Resource 12823,N,0.0003
3110,Principal 0074,Operation 0008,Resource 0545,Y,0.0022
3111,Principal 0110,Operation 0003,Resource 13589,N,0.0003
3112,Principal 0082,Operation 0006,Resource 7610,Y,0.0025
3113,Principal 0138,Operation 0003,Resource 7090,N,0.0038
3114,Principal 0079,Operation 0010,Resource 2274,N,0.0009
3115,Principal 0078,Operation 0013,Resource 5883,N,0.0009
3116,Principal 0035,Operation 0002,Resource 10339,N,0.0003
3117,Principal 0066,Operation 0011,Resource 2934,N,0.0012
3118,Principal 0016,Operation 0004,Resource 2780,Y,0.0019
3119,Principal 0068,Operation 0001,Resource 6519,Y,0.0025
3120,Principal 0015,Operation 0012,Resource 4408,N,0.0006
3121,Principal 0096,Operation 0007,Resource 9309,Y,0.0025
3122,Principal 0061,Operation 0008,Resource 2620,Y,0.0025
3123,Principal 0017,Operation 0012,Resource 13507,N,0.0003
3124,Principal 0061,Operation 0004,Resource 9171,Y,0.0025
3125,Principal 0110,Operation 0010,Resource 11434,N,0.0006
3126,Principal 0054,Operation 0014,Resource 11004,N,0.0003
3127,Principal 0003,Operation 0004,Resource 11582,N,0.0009
3128,Principal 0025,Operation 0001,Resource 11377,N,0.0006
3129,Principal 0126,Operation 0009,Resource 13931,N,0.0006
3130,Principal 0108,Operation 0002,Resource 5561,N,0.0028
3131,Principal 0011,Operation 0012,Resource 5732,N,0.0012
3132,Principal 0027,Operation 0013,Resource 3278,N,0.0009
3133,Principal 0080,Operation 0002,Resource 5509,Y,0.0022
3134,Principal 0033,Operation 0002,Resource 4159,Y,0.0016
3135,Principal 0118,Operation 0001,Resource 8317,N,0.0028
3136,Principal 0088,Operation 0006,Resource 9141,Y,0.0025
3137,Principal 0064,Operation 0002,Resource 0311,Y,0.0025
3138,Principal 0105,Operation 0002,Resource 8413,N,0.0028
3139,Principal 0078,Operation 0007,Resource 6024,Y,0.0022
3140,Principal 0129,Operation 0008,Resource 13647,N,0.0003
3141,Principal 0037,Operation 0006,Resource 11111,N,0.0006
3142,Principal 0079,Operation 0005,Resource 5956,Y,0.0025
3143,Principal 0035,Operation 0008,Resource 11554,N,0.0006
3144,Principal 0082,Operation 0012,Resource 13043,N,0.0006
3145,Principal 0055,Operation 0012,Resource 1932,N,0.0009
3146,Principal 0074,Operation 0006,Resource 0434,Y,0.0022
3147,Principal 0031,Operation 0004,Resource 3964,Y,0.0025
3148,Principal 0048,Operation 0005,Resource 14969,N,0.0003
3149,Principal 0053,Operation 0006,Resource 11089,N,0.0003
3150,Principal 0123,Operation 0010,Resource 6096,N,0.0009
3151,Principal 0122,Operation 0010,Resource 8304,N,0.0009
3152,Principal 0069,Operation 0014,Resource 10833,N,0.0003
3153,Principal 0080,Operation 0004,Resource 10387,N,0.0003
3154,Principal 0024,Operation 0005,Resource 12218,N,0.0003
3155,Principal 0126,Operation 0013,Resource 4012,N,0.0016
3156,Principal 0023,Operation 0005,Resource 4352,Y,0.0019
3157,Principal 0065,Operation 0001,Resource 1506,Y,0.0025
3158,Principal 0056,Operation 0010,Resource 4598,N,0.0009
3159,Principal 0097,Operation 0013,Resource 1432,N,0.0012
3160,Principal 0111,Operation 0003,Resource 14469,N,0.0006
3161,Principal 0098,Operation 0006,Resource 13456,N,0.0003
3162,Principal 0055,Operation 0011,Resource 2381,N,0.0009
3163,Principal 0048,Operation 0013,Resource 12367,N,0.0006
3164,Principal 0061,Operation 0014,Resource 1768,N,0.0012
3165,Principal 0051,Operation 0001,Resource 13526,N,0.0006
3166,Principal 0067,Operation 0007,Resource 6277,Y,0.0028
3167,Principal 0109,Operation 0003,Resource 0558,N,0.0025
3168,Principal 0067,Operation 0006,Resource 9457,Y,0.0025
3169,Principal 0046,Operation 0007,Resource 0160,Y,0.0022
3170,Principal 0037,Operation 0012,Resource 0676,N,0.0009
3171,Principal 0094,Operation 0012,Resource 1189,N,0.0009
3172,Principal 0109,Operation 0007,Resource 14202,N,0.0003
3173,Principal 0137,Operation 0007,Resource 2285,N,0.0028
3174,Principal 0017,Operation 0012,Resource 6385,N,0.0009
3175,Principal 0070,Operation 0001,Resource 1025,Y,0.0025
3176,Principal 0147,Operation 0001,Resource 9173,N,0.0028
3177,Principal 0061,Operation 0003,Resource 6695,Y,0.0022
3178,Principal 0101,Operation 0001,Resource 14712,N,0.0003
3179,Principal 0139,Operation 0003,Resource 0283,N,0.0022
3180,Principal 0040,Operation 0001,Resource 4241,Y,0.0022
3181,Principal 0023,Operation 0001,Resource 1456,Y,0.0016
3182,Principal 0117,Operation 0011,Resource 2471,N,0.0009
3183,Principal 0006,Operation 0009,Resource 8203,Y,0.0019
3184,Principal 0143,Operation 0008,Resource 0076,N,0.0025
3185,Principal 0040,Operation 0009,Resource 5456,Y,0.0022
3186,Principal 0092,Operation 0014,Resource 5454,N,0.0009
3187,Principal 0084,Operation 0005,Resource 6120,Y,0.0032
3188,Principal 0060,Operation 0012,Resource 9239,N,0.0009
3189,Principal 0090,Operation 0014,Resource 11723,N,0.0006
3190,Principal 0015,Operation 0012,Resource 4369,N,0.0009
